world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
2018,knockout,favorite_matchup_profile,UEFA_favorite_vs_UEFA,9,0.3333333333333333,1.1022265610622668,0.6713135379209079,0.43540583192727145,0.3422849836866681,0.6666666666666666,0.0
2022,all,same_confederation,False,56,0.5,1.0922137907464222,0.6407023737106182,0.5444835036881112,0.3908896621207663,0.5,0.10714285714285714
2022,all,same_confederation,True,8,0.75,0.8772926893002673,0.5065769849049813,0.48855332540496427,0.43559036988718725,0.25,0.0
2022,all,confederation_pair,AFC_vs_CAF,3,0.3333333333333333,1.330370022753904,0.8112365131659608,0.4263521505338554,0.2727718569119578,0.6666666666666666,0.0
2022,all,confederation_pair,AFC_vs_CONCACAF,3,0.3333333333333333,1.2374147523757442,0.7691399432983331,0.5256131318545302,0.3166943184682906,0.6666666666666666,0.3333333333333333
2022,all,confederation_pair,AFC_vs_CONMEBOL,5,0.6,1.2111744825600352,0.6618273945370902,0.6254315885745316,0.42025776407732707,0.4,0.2
2022,all,confederation_pair,AFC_vs_UEFA,10,0.5,1.1259057530228582,0.6746217327661392,0.4948643935184583,0.35393179824778676,0.5,0.1
2022,all,confederation_pair,CAF_vs_CONCACAF,1,0.0,1.126616036089654,0.7011036441435322,0.4270977887885503,0.3241282409529865,1.0,0.0
2022,all,confederation_pair,CAF_vs_CONMEBOL,3,0.3333333333333333,1.7137776829975382,0.9156562186595347,0.668962889893947,0.3112357252205786,0.6666666666666666,0.3333333333333333
2022,all,confederation_pair,CAF_vs_UEFA,13,0.46153846153846156,1.1005425305764953,0.6592319271389815,0.5336672901101243,0.37313783618801816,0.5384615384615384,0.07692307692307693
2022,all,confederation_pair,CONCACAF_vs_CONMEBOL,1,1.0,0.4373422988472536,0.18996232466387475,0.6457503539737284,0.6457503539737284,0.0,0.0
2022,all,confederation_pair,CONCACAF_vs_UEFA,8,0.625,0.9287981564061205,0.5329992116223214,0.5501507190007269,0.4398944948298895,0.375,0.0
2022,all,confederation_pair,CONMEBOL_vs_UEFA,9,0.5555555555555556,0.8558842756343358,0.5123117652759501,0.571195682825586,0.46747579445398457,0.4444444444444444,0.1111111111111111
2022,all,confederation_pair,UEFA_vs_UEFA,8,0.75,0.8772926893002673,0.5065769849049813,0.48855332540496427,0.43559036988718725,0.25,0.0
2022,all,favorite_matchup_profile,AFC_favorite_vs_CAF,3,0.3333333333333333,1.330370022753904,0.8112365131659608,0.4263521505338554,0.2727718569119578,0.6666666666666666,0.0
2022,all,favorite_matchup_profile,AFC_favorite_vs_CONCACAF,2,0.0,1.4760704556476256,0.9408568110827433,0.5546106487161666,0.24123242863680722,1.0,0.5
2022,all,favorite_matchup_profile,AFC_favorite_vs_UEFA,1,1.0,0.7702757274321147,0.4327386822540159,0.4628854205056766,0.4628854205056766,0.0,0.0
2022,all,favorite_matchup_profile,CONCACAF_favorite_vs_AFC,1,1.0,0.7601033458319812,0.42570620772951284,0.4676180981312573,0.4676180981312573,0.0,0.0
